paid_status,gender,education,married_status,city,province,agerange,Age,salary,Category
Pending Payment,Male,Post Graduate,Married,Karur,TAMIL NADU,>35,36,3,Bad
Pending Payment,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,<25,24,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Tadepalle,ANDHRA PRADESH,25-35,25,4,Bad
Pending Payment,Male,Post Graduate,Married,Ambattur,TAMIL NADU,25-35,33,4,Bad
Pending Payment,Male,Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,29,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Jaipur,RAJASTHAN,<25,23,5,Bad
Pending Payment,Male,Graduate,Unmarried,Solapur North,MAHARASHTRA,25-35,29,4,Bad
Pending Payment,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,>35,36,6,Bad
Pending Payment,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,<25,22,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Gummidipundi,TAMIL NADU,25-35,28,4,Bad
Pending Payment,Female,Post Graduate,Married,Nashik,MAHARASHTRA,25-35,30,4,Bad
Pending Payment,Female,Self Employed,Unmarried,Nashik,MAHARASHTRA,25-35,27,4,Bad
Pending Payment,Male,Graduate,Married,Ahmadabad City,GUJARAT,25-35,30,4,Bad
Pending Payment,Male,Graduate,Married,Asansol MC,WEST BENGAL,25-35,28,4,Bad
Pending Payment,Male,Self Employed,Unmarried,Ahmadabad City,GUJARAT,25-35,28,4,Bad
Pending Payment,Male,Graduate,Married,Hyderabad,Telangana,25-35,32,4,Bad
Pending Payment,Male,Post Graduate,Married,Chennai,Tamil Nadu,>35,39,4,Excellent
Pending Payment,Male,Post Graduate,Married,Rabale,MAHARASHTRA,25-35,33,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,27,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,<25,24,5,Excellent
Pending Payment,Male,Post Graduate,Married,Hyderabad,TELANGANA,25-35,29,4,Excellent
Pending Payment,Male,Self Employed,Married,Karimnagar,TELANGANA,25-35,29,4,Excellent
Pending Payment,Male,Self Employed,Unmarried,NA,ANDHRA PRADESH,<25,23,5,Fair
Pending Payment,Male,Post Graduate,Unmarried,Mumbai,Maharashtra,25-35,30,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Arkalgud,KARNATAKA,25-35,32,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Chincholi,KARNATAKA,<25,24,4,Fair
Pending Payment,Male,Post Graduate,Married,Mumbai,MAHARASHTRA,25-35,27,5,Fair
Pending Payment,Male,Post Graduate,Married,Nashik,MAHARASHTRA,>35,39,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Kovilpatti,TAMIL NADU,25-35,27,5,Fair
Pending Payment,Male,Graduate,Married,Bangalore North,KARNATAKA,25-35,25,4,Fair
Pending Payment,Male,Post Graduate,Married,Serilingampally,TELANGANA,25-35,32,5,Fair
Pending Payment,Male,10th-12th,Married,Coimbatore North,TAMIL NADU,>35,36,4,Fair
Pending Payment,Male,Graduate,Unmarried,Pardi,GUJARAT,25-35,31,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Chennai,Tamil Nadu,<25,24,5,Good
Pending Payment,Male,Self Employed,Unmarried,Mumbai,Maharashtra,<25,23,4,Good
Pending Payment,Male,Graduate,Married,Surat City,GUJARAT,25-35,26,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Vasai,MAHARASHTRA,25-35,32,4,Bad
Pending Payment,Male,Graduate,Unmarried,Coimbatore,Tamil Nadu,25-35,30,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Aurangabad,MAHARASHTRA,25-35,35,3,Bad
Pending Payment,Male,Post Graduate,Unmarried,Tondiarpet Fort St George,TAMIL NADU,<25,24,4,Bad
Pending Payment,Male,Graduate,Unmarried,Mumbai,MAHARASHTRA,<25,23,4,Bad
Pending Payment,Male,Graduate,Married,Coimbatore North,TAMIL NADU,25-35,35,4,Bad
Pending Payment,Male,Graduate,Married,Bangalore North,KARNATAKA,>35,36,4,Bad
Pending Payment,Male,Self Employed,Unmarried,Namakkal,TAMIL NADU,25-35,28,4,Excellent
Pending Payment,Male,Graduate,Unmarried,Poonamallee,TAMIL NADU,<25,24,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Ghaziabad,UTTAR PRADESH,25-35,28,4,Excellent
Pending Payment,Male,Graduate,Unmarried,Bengaluru,Karnataka,25-35,29,4,Excellent
Pending Payment,Male,Graduate,Married,Rangareddy,TELANGANA,<25,24,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Visakhapatnam,Andhra Pradesh,>35,36,5,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,<25,24,4,Fair
Pending Payment,Male,Graduate,Unmarried,Indore,MADHYA PRADESH,25-35,35,4,Fair
Pending Payment,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,30,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Nagpur,Maharashtra,25-35,35,4,Fair
Pending Payment,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,<25,22,4,Good
Pending Payment,Male,Self Employed,Unmarried,Durg,CHATTISGARH,25-35,29,6,Fair
Pending Payment,Male,Post Graduate,Unmarried,Ameerpet,TELANGANA,25-35,30,4,Bad
Pending Payment,Male,Graduate,Married,Aurangabad,MAHARASHTRA,>35,40,5,Bad
Pending Payment,Male,Self Employed,Unmarried,Madurai South,TAMIL NADU,<25,24,3,Bad
Pending Payment,Male,Post Graduate,Married,Bhiwandi,MAHARASHTRA,25-35,29,4,Bad
Pending Payment,Male,10th-12th,Unmarried,Surat City,GUJARAT,25-35,31,4,Bad
Pending Payment,Female,Post Graduate,Unmarried,Changanassery,KERALA,25-35,27,4,Excellent
Pending Payment,Male,Graduate,Married,Haveli,MAHARASHTRA,25-35,27,4,Excellent
Pending Payment,Male,Graduate,Married,Jogeshwari East,MAHARASHTRA,25-35,31,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Jaipur,RAJASTHAN,25-35,25,3,Fair
Pending Payment,Male,Self Employed,Unmarried,Chennai City Corporation,TAMIL NADU,<25,24,4,Good
Pending Payment,Male,Post Graduate,Unmarried,Kalyan,MAHARASHTRA,25-35,30,4,Good
Pending Payment,Male,Graduate,Married,Hyderabad,Telangana,>35,37,4,Bad
Pending Payment,Male,Post Graduate,Married,Bengaluru,Karnataka,25-35,34,5,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Ambattur,TAMIL NADU,<25,22,4,Excellent
Pending Payment,Female,Post Graduate,Unmarried,Bengaluru,Karnataka,<25,24,4,Excellent
Pending Payment,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,<25,22,3,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Aurangabad,MAHARASHTRA,25-35,30,4,Excellent
Pending Payment,Male,10th-12th,Unmarried,Chorasi,GUJARAT,<25,23,4,Excellent
Pending Payment,Male,Post Graduate,Married,Aurangabad,MAHARASHTRA,25-35,33,4,Excellent
Pending Payment,Male,Post Graduate,Married,Vadodara,GUJARAT,>35,37,4,Excellent
Pending Payment,Male,10th-12th,Married,Kalyan,MAHARASHTRA,25-35,32,4,Good
Pending Payment,Male,Post Graduate,Unmarried,Indore,MADHYA PRADESH,25-35,30,4,Good
Pending Payment,Male,Post Graduate,Unmarried,Dadar,MAHARASHTRA,25-35,30,4,Bad
Pending Payment,Male,Self Employed,Unmarried,Pilibhit,UTTAR PRADESH,<25,23,4,Bad
Pending Payment,Male,Self Employed,Unmarried,Pali,RAJASTHAN,<25,22,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Veppanthattai,TAMIL NADU,25-35,26,4,Good
Pending Payment,Male,Graduate,Unmarried,Ahmadabad City,GUJARAT,25-35,25,4,Good
Pending Payment,Male,Graduate,Unmarried,Pune,Maharashtra,25-35,32,5,Bad
Pending Payment,Male,Self Employed,Unmarried,Sagar,MADHYA PRADESH,25-35,30,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Indore,MADHYA PRADESH,25-35,29,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,29,4,Fair
Pending Payment,Male,Post Graduate,Married,Bangalore North,KARNATAKA,25-35,30,5,Bad
Pending Payment,Male,Graduate,Unmarried,Tiruppur,TAMIL NADU,25-35,28,4,Excellent
Pending Payment,Male,Post Graduate,Married,Nashik,MAHARASHTRA,25-35,32,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Chennai,Tamil Nadu,25-35,32,4,Bad
Pending Payment,Male,Self Employed,Unmarried,Bangalore North,KARNATAKA,25-35,29,5,Fair
Pending Payment,Male,Post Graduate,Unmarried,Hyderabad,Telangana,25-35,27,5,Fair
Pending Payment,Male,Post Graduate,Unmarried,Bengaluru,Karnataka,25-35,27,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Pune,Maharashtra,>35,38,5,Bad
Pending Payment,Male,Graduate,Unmarried,Mysore,KARNATAKA,25-35,28,4,Bad
Pending Payment,Male,Self Employed,Unmarried,Nagpur,MAHARASHTRA,25-35,30,4,Bad
Pending Payment,Male,Graduate,Married,Vasai,MAHARASHTRA,>35,40,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Chennai,Tamil Nadu,25-35,32,5,Good
Pending Payment,Male,Post Graduate,Married,Indore,MADHYA PRADESH,<25,22,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Ahmadabad City,GUJARAT,25-35,26,4,Bad
Pending Payment,Male,Self Employed,Married,Bangalore South,KARNATAKA,25-35,33,5,Bad
Pending Payment,Male,Graduate,Unmarried,Huzur,MADHYA PRADESH,25-35,26,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Mysore,KARNATAKA,25-35,29,4,Bad
Pending Payment,Male,Graduate,Married,Mumbai,Maharashtra,25-35,31,4,Bad
Pending Payment,Male,Graduate,Unmarried,Rangareddy,TELANGANA,25-35,28,4,Bad
Pending Payment,Male,Post Graduate,Married,Indore,MADHYA PRADESH,25-35,33,4,Bad
Pending Payment,Male,Graduate,Unmarried,Mangalore,Karnataka,25-35,28,3,Bad
Pending Payment,Female,Post Graduate,Married,Aurangabad,Maharashtra,>35,36,5,Excellent
Pending Payment,Male,Self Employed,Unmarried,Hyderabad,Telangana,25-35,25,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Pune City,MAHARASHTRA,<25,22,3,Excellent
Pending Payment,Male,10th-12th,Unmarried,Nashik,Maharashtra,25-35,30,4,Fair
Pending Payment,Male,Post Graduate,Married,Guntur,ANDHRA PRADESH,25-35,33,4,Fair
Pending Payment,Male,Graduate,Married,Dahisar West,MAHARASHTRA,25-35,28,4,Good
Pending Payment,Male,10th-12th,Unmarried,Poonamallee,TAMIL NADU,25-35,33,4,Good
Pending Payment,Male,Post Graduate,Unmarried,Vadodara,GUJARAT,<25,24,4,Good
Pending Payment,Male,Graduate,Unmarried,Hyderabad,Telangana,25-35,25,5,Bad
Pending Payment,Male,Graduate,Married,Sriperumbudur,TAMIL NADU,25-35,34,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Kandukur,ANDHRA PRADESH,25-35,26,5,Bad
Pending Payment,Male,Graduate,Unmarried,Amalapuram Mandal,ANDHRA PRADESH,<25,24,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,29,4,Bad
Pending Payment,Male,Graduate,Married,Hyderabad,Telangana,25-35,32,4,Excellent
Pending Payment,Male,Graduate,Unmarried,Hyderabad,Telangana,25-35,29,4,Excellent
Pending Payment,Male,Post Graduate,Married,Surat City,GUJARAT,25-35,29,5,Excellent
Pending Payment,Male,Post Graduate,Married,Chennai,Tamil Nadu,25-35,30,4,Bad
Pending Payment,Male,Graduate,Married,Ahmadabad City,GUJARAT,25-35,28,4,Bad
Pending Payment,Male,Self Employed,Married,Bangalore North,KARNATAKA,25-35,30,4,Excellent
Pending Payment,Male,Post Graduate,Married,Mysore,KARNATAKA,>35,40,4,Fair
Pending Payment,Male,Graduate,Married,Vadodara,GUJARAT,25-35,35,4,Excellent
Pending Payment,Male,10th-12th,Unmarried,Nashik,MAHARASHTRA,25-35,32,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Tambaram,TAMIL NADU,25-35,28,5,Fair
Pending Payment,Male,Post Graduate,Unmarried,Raurkela (M),ODISHA,25-35,27,5,Bad
Pending Payment,Male,Post Graduate,Married,Bangalore South,KARNATAKA,25-35,32,4,Bad
Pending Payment,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,25,4,Excellent
Pending Payment,Male,Post Graduate,Married,Rajahmundry (Urban),ANDHRA PRADESH,>35,37,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Bengaluru,Karnataka,<25,23,4,Excellent
Pending Payment,Male,10th-12th,Unmarried,Mumbai,MAHARASHTRA,25-35,33,4,Good
Pending Payment,Male,Self Employed,Unmarried,Hyderabad,Telangana,25-35,29,4,Bad
Pending Payment,Male,Post Graduate,Married,Hyderabad,Telangana,<25,23,5,Fair
Pending Payment,Male,Post Graduate,Unmarried,North Solapur,MAHARASHTRA,25-35,25,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Gauribidanur,KARNATAKA,25-35,25,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Ghaziabad,UTTAR PRADESH,25-35,26,4,Excellent
Pending Payment,Male,Self Employed,Unmarried,Chennai City Corporation,TAMIL NADU,25-35,25,4,Excellent
Pending Payment,Male,Self Employed,Married,Warangal,TELANGANA,>35,36,5,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Cumbum,ANDHRA PRADESH,25-35,27,4,Bad
Pending Payment,Male,Graduate,Married,Bengaluru,Karnataka,25-35,35,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,35,4,Fair
Pending Payment,Male,10th-12th,Unmarried,Kundapura,KARNATAKA,25-35,28,4,Bad
Pending Payment,Male,Post Graduate,Married,Ahmedabad,Gujarat,25-35,28,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Hyderabad,Telangana,25-35,30,5,Bad
Pending Payment,Male,NA,Unmarried,Huzur,MADHYA PRADESH,<25,24,4,Bad
Pending Payment,Male,Graduate,Unmarried,Ottapidaram,TAMIL NADU,<25,23,6,Bad
Pending Payment,Male,10th-12th,Married,Pune City,MAHARASHTRA,25-35,29,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Proddatur,ANDHRA PRADESH,<25,23,4,Fair
Pending Payment,Male,Graduate,Unmarried,Belgaum,KARNATAKA,25-35,29,4,Fair
Pending Payment,Male,10th-12th,Unmarried,Tambaram,TAMIL NADU,25-35,28,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Haveli,MAHARASHTRA,25-35,27,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Hyderabad,Telangana,25-35,26,4,Bad
Pending Payment,Male,Self Employed,Unmarried,Jaipur,RAJASTHAN,25-35,35,4,Bad
Pending Payment,Female,Post Graduate,Married,Indore,MADHYA PRADESH,25-35,28,6,Excellent
Pending Payment,Male,Post Graduate,Married,Warangal,Telangana,25-35,31,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Hyderabad,Telangana,<25,24,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,28,5,Bad
Pending Payment,Male,Graduate,Unmarried,Chennai City Corporation,TAMIL NADU,<25,24,3,Bad
Pending Payment,Male,Self Employed,Unmarried,Pune City,MAHARASHTRA,<25,24,6,Bad
Pending Payment,Male,Self Employed,Unmarried,Vijayawada (Urban),ANDHRA PRADESH,<25,23,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Kalyan,MAHARASHTRA,25-35,31,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Nashik,MAHARASHTRA,<25,24,4,Bad
Pending Payment,Male,Graduate,Married,Pune City,MAHARASHTRA,25-35,29,5,Bad
Pending Payment,Male,Post Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,35,4,Bad
Pending Payment,Male,Post Graduate,Married,Belgaum,KARNATAKA,>35,38,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Bhubaneshwar,Odisha,25-35,30,4,Bad
Pending Payment,Male,Graduate,Married,NA,TAMIL NADU,>35,36,4,Excellent
Pending Payment,Male,Post Graduate,Married,Bangalore North,KARNATAKA,25-35,34,4,Excellent
Pending Payment,Male,Graduate,Unmarried,Huzur,MADHYA PRADESH,25-35,30,4,Excellent
Pending Payment,Male,Self Employed,Unmarried,Chengalpattu,TAMIL NADU,25-35,27,4,Fair
Pending Payment,Male,Self Employed,Unmarried,Bengaluru,Karnataka,25-35,30,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Bhinmal,RAJASTHAN,25-35,25,3,Fair
Pending Payment,Male,Self Employed,Unmarried,Belgaum,KARNATAKA,25-35,25,5,Fair
Pending Payment,Male,Graduate,Unmarried,Hingna,MAHARASHTRA,25-35,28,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Jaipur,RAJASTHAN,<25,24,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Mysore,KARNATAKA,25-35,25,4,Bad
Pending Payment,Female,Graduate,Married,NA,TAMIL NADU,25-35,34,4,Bad
Pending Payment,Male,10th-12th,Married,Malad West,MAHARASHTRA,25-35,31,4,Bad
Pending Payment,Male,Self Employed,Married,Tirumalagiri,TELANGANA,25-35,28,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Indore,Madhya Pradesh,25-35,32,4,Bad
Pending Payment,Male,Graduate,Unmarried,Mandya,KARNATAKA,25-35,25,4,Bad
Pending Payment,Male,10th-12th,Unmarried,Nagpur (Urban),MAHARASHTRA,25-35,26,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Bengaluru,Karnataka,25-35,28,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Kochi,KERALA,25-35,26,4,Bad
Paid,Male,Post Graduate,Married,Bhubaneswar,ODISHA,25-35,33,5,Bad
Paid,Male,Graduate,Married,Bhiwandi,MAHARASHTRA,25-35,32,5,Bad
Paid,Female,Post Graduate,Married,Vijayawada (Urban),ANDHRA PRADESH,25-35,27,4,Bad
Paid,Male,Post Graduate,Married,Nagpur,MAHARASHTRA,>35,38,6,Excellent
Paid,Female,Self Employed,Unmarried,Hyderabad,Telangana,25-35,25,4,Excellent
Paid,Female,Graduate,Married,Tiruppur,TAMIL NADU,25-35,35,3,Excellent
Paid,Male,Graduate,Unmarried,Pune City,MAHARASHTRA,<25,24,4,Excellent
Pending Payment,Male,10th-12th,Married,Tambaram,TAMIL NADU,25-35,33,4,Fair
Paid,Male,10th-12th,Unmarried,Surat City,GUJARAT,25-35,27,4,Fair
Paid,Male,Graduate,Married,Chembur,MAHARASHTRA,25-35,31,4,Fair
Paid,Male,Post Graduate,Unmarried,Aurangabad,MAHARASHTRA,25-35,35,3,Fair
Paid,Male,Graduate,Unmarried,Mumbai,Maharashtra,>35,41,6,Fair
Paid,Male,Post Graduate,Unmarried,Haveli,MAHARASHTRA,<25,22,4,Fair
Paid,Male,Graduate,Unmarried,Pune City,MAHARASHTRA,>35,37,4,Fair
Paid,Male,Post Graduate,Unmarried,Madurai North,TAMIL NADU,>35,39,4,Good
Paid,Male,Post Graduate,Married,Daskroi,GUJARAT,>35,37,4,Good
Paid,Male,10th-12th,Unmarried,Bilasipara,ASSAM,<25,24,4,Good
Paid,Male,Post Graduate,Married,Ahmadabad City,GUJARAT,25-35,28,5,Bad
Pending Payment,Male,Graduate,Unmarried,Guntur,ANDHRA PRADESH,<25,22,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Krishna,ANDHRA PRADESH,25-35,29,5,Fair
Paid,Male,Post Graduate,Unmarried,Daskroi,GUJARAT,<25,24,3,Fair
Pending Payment,Male,Post Graduate,Married,Tirupati (Urban),ANDHRA PRADESH,<25,24,4,Fair
Pending Payment,Male,Graduate,Married,Surat City,GUJARAT,25-35,26,4,Fair
Pending Payment,Male,Post Graduate,Unmarried,Coimbatore South,TAMIL NADU,25-35,29,4,Fair
Paid,Male,Post Graduate,Married,Indore,MADHYA PRADESH,25-35,25,4,Fair
Paid,Male,Graduate,Married,Krishna,ANDHRA PRADESH,25-35,27,4,Fair
Pending Payment,Male,Post Graduate,Married,Madurai North,TAMIL NADU,25-35,30,4,Fair
Pending Payment,Male,Graduate,Unmarried,Cuttack Sadar,ODISHA,25-35,32,4,Good
Pending Payment,Male,Post Graduate,Married,Hyderabad,Telangana,25-35,29,5,Bad
Paid,Male,Post Graduate,Unmarried,Tiruchirappalli,TAMIL NADU,25-35,28,4,Fair
Pending Payment,Male,Graduate,Married,Vadodara,Gujarat,>35,39,3,Fair
Paid,Male,Post Graduate,Unmarried,Vasai,MAHARASHTRA,25-35,26,4,Fair
Paid,Male,Post Graduate,Married,Jaipur,Rajasthan,>35,40,4,Fair
Paid,Male,Graduate,Married,Hyd,TELANGANA,25-35,32,4,Fair
Paid,Female,Graduate,Married,tirupur,TAMIL NADU,25-35,26,5,Bad
Paid,Male,Self Employed,Unmarried,Bagodar,JHARKHAND,25-35,29,4,Bad
Paid,Male,Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,29,4,Bad
Paid,Male,Post Graduate,Unmarried,Ernakulam,KERALA,25-35,25,4,Bad
Paid,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,25,4,Bad
Paid,Male,Post Graduate,Unmarried,Guntur,ANDHRA PRADESH,25-35,31,4,Bad
Pending Payment,Male,Post Graduate,Unmarried,Coimbatore South,TAMIL NADU,<25,24,4,Excellent
Paid,Female,Self Employed,Unmarried,Bangalore South,KARNATAKA,25-35,26,4,Excellent
Pending Payment,Male,Post Graduate,Unmarried,Pune City,MAHARASHTRA,25-35,25,4,Bad
Paid,Male,Post Graduate,Unmarried,Ambattur,TAMIL NADU,25-35,28,4,Bad
Paid,Male,Graduate,Unmarried,Mumbai,Maharashtra,25-35,33,4,Bad
Paid,Male,Post Graduate,Unmarried,Haveli,MAHARASHTRA,25-35,26,5,Excellent
Paid,Male,Post Graduate,Unmarried,Sanand,GUJARAT,25-35,28,6,Excellent
Paid,Male,Post Graduate,Married,Daskroi,GUJARAT,>35,37,4,Excellent
Pending Payment,Male,Graduate,Married,Bangalore North,KARNATAKA,>35,37,4,Fair
Paid,Male,10th-12th,Unmarried,Bengaluru,Karnataka,25-35,25,5,Fair
Paid,Male,Post Graduate,Married,Coimbatore North,TAMIL NADU,>35,39,4,Fair
Paid,Male,Post Graduate,Unmarried,Guntur,ANDHRA PRADESH,>35,36,5,Good
Paid,Male,Self Employed,Unmarried,Salem,TAMIL NADU,25-35,34,4,Bad
Paid,Male,Post Graduate,Married,City Ahmedabad,GUJARAT,<25,24,5,Bad
Pending Payment,Male,Post Graduate,Unmarried,S.v.peta,ANDHRA PRADESH,25-35,25,4,Bad
Pending Payment,Female,Post Graduate,Unmarried,Madurai,Tamil Nadu,25-35,27,3,Bad
Paid,Male,Self Employed,Married,Nashik,MAHARASHTRA,25-35,32,4,Bad
Paid,Male,Post Graduate,Unmarried,Chennai,TAMIL NADU,<25,24,3,Bad
Paid,Male,Graduate,Unmarried,Thane,MAHARASHTRA,>35,39,4,Bad
Pending Payment,Male,Graduate,Married,Bangalore South,KARNATAKA,25-35,31,5,Bad
